#Time_millis number_of_S number_of_I number_of_R
35491 440 59 1
35591 440 59 1
35691 436 63 1
35791 436 63 1
35891 434 65 1
35992 433 66 1
36092 431 68 1
36192 430 69 1
36292 430 69 1
36392 430 69 1
36493 429 70 1
36593 428 71 1
36693 428 71 1
36793 428 71 1
36893 427 72 1
36993 427 72 1
37094 426 73 1
37194 426 73 1
37294 423 76 1
37394 422 77 1
37494 421 78 1
37594 420 79 1
37695 420 79 1
37795 419 80 1
37895 417 82 1
37995 416 83 1
38095 416 83 1
38196 415 84 1
38296 414 85 1
38396 414 85 1
38496 414 85 1
38596 414 85 1
38697 414 85 1
38797 414 85 1
38897 412 87 1
38997 411 88 1
39097 408 91 1
39198 408 91 1
39298 405 94 1
39398 405 94 1
39498 405 94 1
39598 405 94 1
39699 403 96 1
39799 402 97 1
39899 399 100 1
39999 398 101 1
40099 399 101 0
40199 398 102 0
40300 398 102 0
40400 398 102 0
40500 397 103 0
40600 395 104 1
40700 394 105 1
40800 394 105 1
40901 394 105 1
41001 393 106 1
41101 393 106 1
41201 392 107 1
41301 392 107 1
41402 392 107 1
41502 388 111 1
41602 386 113 1
41702 383 116 1
41802 381 118 1
41902 380 119 1
42003 379 120 1
42103 379 120 1
42203 379 119 2
42303 378 120 2
42403 376 122 2
42504 375 122 3
42604 372 125 3
42704 368 129 3
42804 365 132 3
42904 363 134 3
43004 362 135 3
43104 362 135 3
43205 361 136 3
43305 361 136 3
43405 357 140 3
43505 352 145 3
43605 352 145 3
43705 348 147 5
43805 345 147 8
43906 344 148 8
44006 344 146 10
44106 336 154 10
44206 331 159 10
44306 330 160 10
44406 328 162 10
44507 325 165 10
44607 324 166 10
44707 323 167 10
44807 320 170 10
44907 317 173 10
45007 316 174 10
45108 311 179 10
45208 308 180 12
45308 306 182 12
45408 305 183 12
45508 302 185 13
45608 296 191 13
45709 294 193 13
45809 292 195 13
45909 290 197 13
46009 289 198 13
46109 283 204 13
46210 280 207 13
46310 276 211 13
46410 273 214 13
46510 272 215 13
46610 267 220 13
46710 260 227 13
46810 258 229 13
46911 256 231 13
47011 253 234 13
47111 251 236 13
47211 251 236 13
47311 248 239 13
47411 244 243 13
47512 240 247 13
47612 234 253 13
47712 232 255 13
47812 226 261 13
47912 223 264 13
48012 220 267 13
48113 220 267 13
48213 219 268 13
48313 215 272 13
48413 213 274 13
48513 210 276 14
48613 206 280 14
48713 204 282 14
48814 202 284 14
48914 201 285 14
49014 199 287 14
49114 193 293 14
49214 190 296 14
49315 184 302 14
49415 181 305 14
49515 179 307 14
49615 178 308 14
49715 178 308 14
49816 174 312 14
49916 172 314 14
50016 170 316 14
50116 165 321 14
50216 164 321 15
50316 163 321 16
50416 159 325 16
50517 155 329 16
50617 151 334 15
50717 150 335 15
50817 149 336 15
50917 146 338 16
51017 146 337 17
51118 145 338 17
51218 140 343 17
51318 138 345 17
51418 138 345 17
